player_id,player_name,country_std,league,position,age,bonus_tier,performance_index,projected_next_index,projection_percentile,overall_future_value
INT-0208,Esteban Martinez,Cuba,Independent,LHP,19,Under $100K,-0.8934376755672467,-0.7157124569049395,0.05806451612903226,30
INT-0209,Ruben Valdez,Dominican Republic,Complex League,OF,20,Under $100K,0.13220910641632377,0.337833103314482,0.7935483870967742,45
INT-0210,Alejandro Valdez,Japan,NPB Farm,C,20,Under $100K,-1.0451111605072885,-0.8226064221781307,0.02903225806451613,30
INT-0211,Isaac Fernandez,Mexico,Mexican Pacific League,LHP,20,Under $100K,0.15651766069850326,0.0498917125898475,0.532258064516129,40
INT-0212,Santiago Sato,Japan,NPB Farm,RHP,26,Under $100K,0.6247523958492426,0.18113067317905157,0.6548387096774193,40
INT-0213,Seong-hyun Herrera,Mexico,Mexican League,LHP,26,$500K-$1.49M,0.6316745026555473,0.41482366719224895,0.8612903225806452,50
INT-0214,Hector Lopez,Japan,NPB Farm,RHP,24,$100K-$499K,1.1516351658715185,0.6013265556558381,0.9483870967741935,50
INT-0215,Marco Benitez,Dominican Republic,Dominican Summer League,IF,26,Under $100K,0.1501920189967163,0.3320588989771671,0.7870967741935484,35
INT-0216,Daichi Dominguez,Colombia,Complex League,RHP,24,$100K-$499K,0.19549098886240307,0.49381632109296797,0.8935483870967742,50
INT-0217,Yun-seo Kim,Colombia,Colombian Winter League,IF,19,Under $100K,-0.5459379140093502,-0.4271147242121148,0.15806451612903225,40
INT-0218,Mateo Ramirez,South Korea,Independent,RHP,26,Under $100K,-1.0901523915745241,-0.8997549956216667,0.01935483870967742,30
INT-0219,Andres Jimenez,Venezuela,Dominican Summer League,RHP,23,$100K-$499K,0.20878758614866819,0.21288586200314108,0.6967741935483871,40
INT-0220,Ren Valdez,Venezuela,Dominican Summer League,LHP,20,$100K-$499K,0.6537633875177566,0.6819228348498186,0.9580645161290322,60
INT-0221,Santiago Garcia,Cuba,Cuban National Series,RHP,20,Under $100K,0.3542766299915604,0.3210459493044404,0.7838709677419354,45
INT-0222,Diego Choi,Panama,Panamanian League,C,24,Under $100K,0.5412206620808578,0.08938697253898598,0.5870967741935483,35
INT-0223,Ren Ortega 2,Venezuela,Complex League,RHP,25,Under $100K,0.10550350679491233,0.022322897003450297,0.5064516129032258,40
INT-0224,Marco Sanchez 2,Mexico,Mexican League,C,25,$500K-$1.49M,-0.010625066177069042,-0.030706939898400912,0.4290322580645161,50
INT-0225,Ji-ho Nakamura,Dominican Republic,Complex League,IF,25,Under $100K,0.10210300478811236,0.01791345371864376,0.4967741935483871,35
INT-0226,Nicolas Benitez,Venezuela,Complex League,OF,19,$100K-$499K,-0.7513722226358949,-0.4159545553461935,0.16774193548387098,45
INT-0227,Nicolas Sato,Panama,Complex League,RHP,24,Under $100K,0.13077479059903294,0.3101905929148863,0.7709677419354839,60
INT-0228,Daichi Lee,Venezuela,Dominican Summer League,C,23,Under $100K,0.0676286913981205,-0.004090877767256931,0.47096774193548385,40
INT-0229,Alejandro Martinez 2,Dominican Republic,Dominican Summer League,C,19,$100K-$499K,-0.4114287021954201,-0.11924894284782463,0.3580645161290323,50
INT-0230,Marco Lee,Dominican Republic,Dominican Summer League,RHP,20,Under $100K,-0.36492644018553144,0.1172455567507426,0.6161290322580645,50
INT-0231,Mateo Yamamoto,Japan,NPB Farm,IF,23,$100K-$499K,0.4013024247749166,0.31847390211347276,0.7774193548387097,50
INT-0232,Seong-hyun Mendez,Dominican Republic,Dominican Summer League,OF,25,Under $100K,-0.6610281590105413,-0.4717310367036522,0.12580645161290321,45
INT-0233,Ji-ho Dominguez,Mexico,Mexican Pacific League,LHP,24,Under $100K,-0.31248372744977126,-0.20472500152337014,0.3,35
INT-0234,Luis Nakamura,Panama,Complex League,OF,26,$100K-$499K,-0.1330812767131532,-0.14417188012313847,0.3419354838709677,40
INT-0235,Santiago Dominguez,Dominican Republic,Complex League,LHP,21,Under $100K,-0.24305149777481633,-0.1652672426049817,0.3258064516129032,45
INT-0236,Mateo Lopez,Mexico,Mexican Pacific League,C,26,Under $100K,0.30842343601553984,0.2185304162294377,0.7064516129032258,40
INT-0237,Seong-hyun Park 2,Japan,NPB Farm,RHP,19,$100K-$499K,0.43903741715046307,0.5048778709376139,0.9161290322580645,55
INT-0238,Emilio Lee,Venezuela,Complex League,C,20,Under $100K,0.28371944379766134,0.4526653294014511,0.8741935483870967,45
INT-0239,Gabriel Park 2,Venezuela,Complex League,IF,24,$100K-$499K,1.0036199331710602,0.8330322305490397,0.9709677419354839,55
INT-0240,Seong-hyun Dominguez,Venezuela,Complex League,IF,24,Under $100K,0.5005096577241024,0.2942268750394341,0.7516129032258064,50
INT-0241,Hector Torres,Dominican Republic,Dominican Summer League,RHP,25,$100K-$499K,0.2517128908738583,0.08060893154460651,0.5741935483870968,40
INT-0242,Emilio Estrada,Panama,Panamanian League,IF,21,Under $100K,0.09672591917514933,0.06785447982235707,0.5580645161290323,35
INT-0243,Gabriel Estrada,Panama,Panamanian League,LHP,20,Under $100K,-0.26720674399588973,-0.07685315123561985,0.3935483870967742,40
INT-0244,Daniel Tanaka,Venezuela,Dominican Summer League,RHP,19,Under $100K,-0.5449349296959038,-0.15942560396825506,0.33548387096774196,45
INT-0245,Diego Vargas,Japan,NPB Farm,IF,22,Under $100K,0.2509285463900669,-0.10509382562234491,0.3741935483870968,30
INT-0246,Ren Castillo,Dominican Republic,Dominican Summer League,RHP,25,Under $100K,-0.06372986916841528,-0.2680749328791692,0.25161290322580643,40
INT-0247,Takeshi Han,Dominican Republic,Dominican Summer League,OF,25,Under $100K,0.07326026679348382,0.019863283322945423,0.5,45
INT-0248,Takeshi Mendez,Dominican Republic,Complex League,IF,25,$100K-$499K,0.1274683929110203,0.2603950372217312,0.7290322580645161,50
INT-0249,Felix Quintero,Venezuela,Complex League,OF,25,$100K-$499K,0.025830950241973738,0.21508230713463,0.7,55
INT-0250,Kaito Herrera 2,Dominican Republic,Dominican Summer League,IF,18,Under $100K,-0.2937572197560589,-0.2372391446664313,0.26129032258064516,40
INT-0251,Daniel Garcia,Panama,Complex League,RHP,21,Under $100K,-0.8365571730015088,-0.9688238380519734,0.012903225806451613,25
INT-0252,Min-jun Kim 2,Dominican Republic,Dominican Summer League,OF,22,Under $100K,0.5834527311696466,0.49865318277416154,0.896774193548387,50
INT-0253,Isaac Nakamura 2,Venezuela,Complex League,IF,25,Under $100K,-0.3810312778162487,-0.025324417259012896,0.44193548387096776,40
INT-0254,Javier Herrera,Panama,Panamanian League,IF,20,Under $100K,-0.06093549883203375,0.037144164878991186,0.5193548387096775,45
INT-0255,Emilio Mendez,Venezuela,Dominican Summer League,IF,20,Under $100K,0.5453543066388967,0.48744831290050844,0.8903225806451613,40
INT-0256,Emilio Estrada 2,Dominican Republic,Dominican Summer League,RHP,24,$100K-$499K,1.1845790954651467,0.9209787764826687,0.9838709677419355,50
INT-0257,Andres Ramirez 2,Dominican Republic,Dominican Summer League,OF,26,Under $100K,-0.6559503917127562,-0.1818293366120226,0.3161290322580645,35
INT-0258,Esteban Dominguez,Japan,NPB Farm,OF,19,Under $100K,0.550820466742911,0.48046544332682345,0.8870967741935484,45
INT-0259,Javier Rojas,Venezuela,Dominican Summer League,RHP,24,Under $100K,-0.0756904979925703,0.10987823584688923,0.603225806451613,50
INT-0260,Rafael Martinez,Japan,Industrial League,RHP,26,$100K-$499K,0.5809280722699127,0.08791197687093759,0.5838709677419355,40
INT-0261,Ji-ho Jimenez 2,Dominican Republic,Complex League,RHP,18,Under $100K,0.5513452810217433,0.4709639991729411,0.8838709677419355,50
INT-0262,Carlos Perez,Colombia,Complex League,RHP,20,Under $100K,0.47565802908751664,0.5061175797922223,0.9193548387096774,45
INT-0263,Luis Mendez,Dominican Republic,Complex League,OF,23,$100K-$499K,0.49362116303264825,0.5399701502567086,0.932258064516129,50
INT-0264,Javier Fernandez,Venezuela,Dominican Summer League,RHP,19,$100K-$499K,-0.30052412266872164,0.13903105836861684,0.6290322580645161,55
INT-0265,Esteban Dominguez 2,Dominican Republic,Complex League,RHP,19,Under $100K,-0.20195991228792243,-0.11150975565448508,0.36774193548387096,40
INT-0266,Ren Alvarez,Venezuela,Complex League,OF,20,$100K-$499K,0.3285076786017503,0.0672062917326605,0.5548387096774193,35
INT-0267,Gabriel Garcia,Dominican Republic,Dominican Summer League,IF,22,Under $100K,0.5051767005626311,0.3808137707325549,0.832258064516129,45
INT-0268,Seong-hyun Quintero,Japan,Industrial League,OF,19,$100K-$499K,-0.7287144534183642,-0.06377166962842197,0.4032258064516129,50
INT-0269,Haruto Estrada,South Korea,Independent,LHP,21,Under $100K,0.18424356573568543,-0.1321566623436471,0.35161290322580646,40
INT-0270,Ji-ho Lee,Japan,NPB Farm,RHP,24,Under $100K,0.4511160970496759,0.09004682729214591,0.5903225806451613,40
INT-0271,Esteban Lopez,Venezuela,Complex League,LHP,21,Under $100K,-0.7997487476319415,-0.5199737407162376,0.10967741935483871,40
INT-0272,Santiago Han 3,Venezuela,Complex League,OF,22,Under $100K,0.6346246155604995,0.14659922988553253,0.6387096774193548,50
INT-0273,Adrian Castillo,Japan,NPB Farm,RHP,26,Under $100K,-0.3006708215913424,-0.4541152344620918,0.13548387096774195,30
INT-0274,Diego Sato,Japan,NPB Farm,IF,22,Under $100K,0.6039474335222368,0.5450168165198704,0.9387096774193548,50
INT-0275,Diego Garcia,Mexico,Mexican Pacific League,IF,25,$100K-$499K,0.21848032628692893,0.38732931748669,0.8354838709677419,55
INT-0276,Isaac Kim,Venezuela,Complex League,C,25,Under $100K,-0.021556850705685887,-0.0635489064740687,0.4064516129032258,40
INT-0278,Ji-ho Yamamoto,South Korea,Independent,IF,25,$100K-$499K,0.3384057680036458,0.04542080878849182,0.5258064516129032,45
INT-0279,Luis Navarro 2,Venezuela,Dominican Summer League,IF,21,$100K-$499K,1.0306760912850472,0.7218495173082686,0.964516129032258,40
INT-0280,Seong-hyun Lee,Mexico,Mexican Pacific League,OF,24,Under $100K,-0.8685850457983229,-0.44008242052482166,0.15161290322580645,30
INT-0281,Rafael Tanaka,Japan,NPB Farm,LHP,25,Under $100K,0.09409796537786663,-0.45141181062056507,0.13870967741935483,30
INT-0282,Isaac Ramirez 2,Colombia,Colombian Winter League,RHP,19,Under $100K,-0.1627918677530858,-0.09970832111762819,0.38064516129032255,40
INT-0283,Daniel Choi,Colombia,Colombian Winter League,IF,22,Under $100K,0.6310494464046726,0.3985832314172119,0.8483870967741935,35
INT-0284,Takeshi Alvarez,South Korea,KBO Futures,OF,19,Under $100K,0.24293840857012758,0.0340278154649255,0.5129032258064516,40
INT-0285,Seong-hyun Park 3,Mexico,Mexican Pacific League,RHP,19,Under $100K,-0.49905259959737086,-0.05435303662859069,0.4161290322580645,45
INT-0286,Andres Lee,Dominican Republic,Complex League,OF,24,Under $100K,0.1117779054034167,0.1945288703822715,0.6806451612903226,40
INT-0287,Jorge Park,Mexico,Mexican Pacific League,IF,18,$100K-$499K,-0.3933133626273192,-0.29569276317064674,0.23548387096774193,40
INT-0288,Min-jun Garcia 2,Dominican Republic,Complex League,LHP,26,Under $100K,-0.18489200747521153,0.06551544112596146,0.5516129032258065,50
INT-0289,Takeshi Alvarez 2,Dominican Republic,Complex League,OF,21,$100K-$499K,-0.15553181974746305,0.07472134177139812,0.567741935483871,45
INT-0290,Kaito Kim,South Korea,Independent,IF,23,Under $100K,-0.8300099539949575,-0.7884713174173296,0.04516129032258064,25
INT-0291,Ji-ho Park,Colombia,Complex League,OF,24,$100K-$499K,-0.3135017788090922,-0.21777811120298834,0.2838709677419355,50
INT-0292,Ji-ho Garcia 2,Venezuela,Complex League,IF,18,Under $100K,-0.32388481243698675,-0.38355913216321696,0.1935483870967742,25
INT-0293,Kenji Perez 2,Mexico,Mexican League,RHP,21,Under $100K,0.6713249526941312,0.008917603456742827,0.4838709677419355,35
INT-0295,Ji-ho Torres,Venezuela,Complex League,RHP,18,Under $100K,0.0017542406168338798,-0.03280189000043955,0.42258064516129035,45
INT-0296,Santiago Herrera,Mexico,Mexican League,RHP,24,Under $100K,-0.0768015168121301,-0.010771980216458713,0.4612903225806452,50
INT-0297,Diego Dominguez,Cuba,Cuban National Series,OF,21,Under $100K,0.597390441185796,0.4999444635730699,0.9,40
INT-0298,Mateo Yamamoto 2,Venezuela,Dominican Summer League,OF,19,$100K-$499K,0.8675099806960624,0.8979117768662103,0.9806451612903225,55
INT-0299,Esteban Lopez 2,Venezuela,Complex League,LHP,21,Under $100K,-0.17553532833160154,-0.13015505043464703,0.3548387096774194,40
INT-0300,Rafael Nakamura,Colombia,Complex League,OF,18,Under $100K,-0.4232675911871287,-0.19150823612611623,0.31290322580645163,30
INT-0301,Marco Mendez,Cuba,Cuban National Series,OF,24,$100K-$499K,0.27714434210499095,0.3039664810509788,0.7677419354838709,45
INT-0302,Esteban Herrera 2,Dominican Republic,Complex League,RHP,23,Under $100K,-0.3114669122521547,-0.3451352602238314,0.2161290322580645,35
INT-0303,Gabriel Rojas,Mexico,Mexican Pacific League,LHP,20,Under $100K,-0.12400355502789419,0.0145870347900506,0.4935483870967742,40
INT-0304,Emilio Dominguez,Panama,Complex League,IF,20,Under $100K,-0.3302536279190364,-0.22696677692589678,0.2709677419354839,40
INT-0305,Carlos Park 2,Dominican Republic,Dominican Summer League,RHP,20,Under $100K,1.0878600202650979,0.543072467007091,0.9354838709677419,35
INT-0306,Min-jun Martinez,Dominican Republic,Complex League,RHP,18,Under $100K,-0.9927939665825835,-0.6767467379843549,0.07096774193548387,35
INT-0307,Hector Garcia 3,Dominican Republic,Dominican Summer League,LHP,26,Under $100K,-0.13912583734194683,-0.16190369852060632,0.33225806451612905,40
INT-0308,Daichi Vargas 2,Dominican Republic,Dominican Summer League,RHP,26,Under $100K,-0.28118195119123196,-0.42521507667807995,0.16451612903225807,35
INT-0309,Isaac Ortega 2,Dominican Republic,Dominican Summer League,IF,21,Under $100K,0.1566213892984983,0.056871076800869926,0.5419354838709678,40
INT-0310,Andres Herrera,Mexico,Mexican League,IF,22,Under $100K,-0.47805334296711743,-0.470945543714221,0.12903225806451613,35
INT-0311,Rafael Kim,Cuba,Cuban National Series,OF,23,$100K-$499K,-0.23573149578670444,-0.02785441815100967,0.432258064516129,50
INT-0312,Min-jun Lee,Panama,Complex League,RHP,21,$100K-$499K,-0.3356863747103723,-0.36182365790121074,0.2064516129032258,40
INT-0313,Marco Nakamura,South Korea,Independent,C,21,Under $100K,1.1059888756386855,0.6683475608059658,0.9548387096774194,50
INT-0314,Rafael Garcia,Dominican Republic,Complex League,C,20,Under $100K,-0.7148959164558722,-0.4264419278718052,0.16129032258064516,35
INT-0315,Marco Martinez,Dominican Republic,Complex League,RHP,19,Under $100K,-0.10786021226145262,0.008872192516827894,0.4806451612903226,40
INT-0316,Haruto Park,South Korea,Independent,C,22,$100K-$499K,-1.243909861253988,-0.8181783424110375,0.03225806451612903,45
INT-0317,Ren Quintero 2,Panama,Complex League,RHP,18,Under $100K,-0.374600372780501,-0.33662654710746703,0.21935483870967742,40
INT-0318,Marco Kim,Venezuela,Complex League,LHP,25,Under $100K,-0.26686433181598407,-0.23950157110700904,0.25806451612903225,45
INT-0319,Santiago Quintero 2,South Korea,Independent,IF,19,Under $100K,0.15325564571799366,0.07145535970995676,0.5612903225806452,35
INT-0320,Takeshi Kim,Mexico,Mexican League,IF,21,Under $100K,-0.8407358784355452,-0.6346838025903173,0.08709677419354839,40
